field_name	field_location	data_type	units	field_description	allowable_enumeration
bldg_id	metadata	integer		ID number for model	""
in.sqft	metadata	float	ft2	Building total floor area	""
in.upgrade_name	metadata	string		Name of upgrade if an upgrade was run	Package 4, Package 1 + Package 2|VRF with DOAS|Package 2, LED Lighting + Variable Speed HP RTU or HP Boilers|Cold Climate Challenge HP RTU, Electric Backup|Package 6, Demand Flexibility, Lighting + Thermostat Control, Load Shed for Daily Bldg Peak Reduction|Demand Flexibility, Thermostat Control, Load Shift for Daily Bldg Peak Reduction|Standard Performance HP RTU, Electric Backup|New Windows|HP Boiler, Gas Backup|Standard Performance HP RTU, Electric Backup, 32F Minimum Compressor Lockout|DOAS HP Minisplits|Console Water-to-Air Geothermal Heat Pump|Demand Flexibility, Thermostat Control, Load Shed for Daily Bldg Peak Reduction|Variable Speed HP RTU, Electric Backup, Energy Recovery|Energy Recovery for AHUs|Demand Flexibility, Lighting Control, Load Shed for Daily Bldg Peak Reduction|Ideal Thermal Air Loads|Demand Flexibility, Lighting Control, Load Shed for Daily GHG Emission Reduction|Window Film|HP Boiler, Electric Backup|Package 5, Variable Speed HP RTU or HP Boilers + Economizer + DCV + Energy Recovery|Packaged Water-to-Air Geothermal Heat Pump|Baseline|Variable Speed HP RTU, Original Heating Fuel Backup|Comprehensive Geothermal Heat Pump Package, Hydronic GHP, Packaged GHP, or Console GHP|LED Lighting|Hydronic Water-to-Water Geothermal Heat Pump|VRF with DOAS, 25pct Heat Pump Upsizing Allowance|Standard Performance HP RTU, Electric Backup + Roof Insulation|Wall Insulation|Demand Control Ventilation|Electric Kitchen Equipment|Roof Insulation|Advanced RTU Controls|Air Side Economizers for AHUs|Package 1, Wall & Roof Insulation + New Windows|Package 3, LED Lighting + Standard Performance HP RTU or HP Boilers|Unoccupied AHU Control|Secondary Windows|Variable Speed HP RTU, Electric Backup
applicability	metadata	boolean		Specifies if an upgrade measure was applicable to model if an upgrade was run	""
completed_status	metadata	string		Simulation completion status	Fail|Invalid|Success
dataset	metadata	string		The name of the ComStock run primarily for comparing multiple runs	ComStock sdr_2024_r2_149325_combined
in.as_simulated_census_division_name	metadata	string		Full name of state where the model was simulated	West North Central|Mountain|Middle Atlantic|West South Central|South Atlantic|New England|East North Central|Pacific|East South Central
in.as_simulated_nhgis_county_gisjoin	metadata	string		County identifier where the model was simulated, according to format of https://www.nhgis.org/geographic-crosswalks#details	G2100810|G4803830|G5000190|G0500650|G3100290|G2601230|G3900530|G0800610|G2300270|G0500950|...too many to list
in.as_simulated_nhgis_tract_gisjoin	metadata	string		Census tract identifier where the model was simulated, according to format of https://www.nhgis.org/geographic-crosswalks#details	G5501150100700|G4200110011400|G4201010038100|G0801010002918|G2500050631600|G0600370188300|G4100410950800|G0600370204110|G2700030050816|G3601190001200|...too many to list
in.airtightness	metadata	float	m3_per_m2_s	6-sided air leakage rate at 75 Pa	""
in.as_simulated_state_name	metadata	string		Full name of state	Kansas|Alabama|Massachusetts|Nevada|Minnesota|Alaska|North Dakota|Vermont|Pennsylvania|Oregon|...too many to list
in.aspect_ratio	metadata	float		Aspect ratio of building geometry which is the ratio of North/South Facade Length Relative to East/West Facade Length	""
in.building_subtype	metadata	string		Building subtype of model	strip_mall_restaurant20|largeoffice_datacenter|strip_mall_restaurant30|mediumoffice_nodatacenter|strip_mall_restaurant10|strip_mall_restaurant40|strip_mall_restaurant0|mediumoffice_datacenter|NA|largeoffice_nodatacenter
in.comstock_building_type	metadata	string		Primary building type of model	RetailStripmall|FullServiceRestaurant|LargeHotel|QuickServiceRestaurant|SmallHotel|Hospital|RetailStandalone|SmallOffice|Outpatient|PrimarySchool|SecondarySchool|MediumOffice|Warehouse|LargeOffice
in.comstock_building_type_group	metadata	string		A building categorization that consolidates multiple ComStock building types into single categories	Education|Office|Mercantile|Healthcare|Food Service|Lodging|Warehouse and Storage
in.economizer_changeover_temperature_fault_applicable	metadata	boolean		Indicates whether the economizer changeover temperature fault is applicable	""
in.economizer_damper_stuck_fault_applicable	metadata	string		Indicates whether the economizer damper stuck fault is applicable	""
in.economizer_damper_stuck_fault_timing	metadata	string		Month when the economizer damper stuck fault happens if applicable	Fault jul|Fault sep|Fault jan|Fault jun|Fault mar|Fault feb|Fault dec|Fault aug|Fault may|Fault oct|Fault nov|No fault|NA|Fault apr
in.energy_code_followed_during_last_ext_lighting_replacement	metadata	string		Specifies the energy code used to determine exterior lighting power and controls	ComStock 90.1-2004|ComStock DEER 2011|ComStock DEER 2014|ComStock DEER 1985|ComStock DEER 1996|ComStock DEER 2017|ComStock DEER 2003|ComStock 90.1-2007|ComStock DEER 2007|ComStock DOE Ref 1980-2004|ComStock 90.1-2013|ComStock 90.1-2010|ComStock DEER 2015
in.energy_code_followed_during_last_hvac_replacement	metadata	string		Specifies the energy code used to determine HVAC system types, efficiencies, and controls	ComStock 90.1-2007|ComStock DEER 2017|ComStock DEER 1996|ComStock DEER 1985|ComStock DOE Ref Pre-1980|ComStock DEER 2015|ComStock DEER 2003|ComStock DEER 2007|ComStock 90.1-2013|ComStock DEER 2014|ComStock DEER Pre-1975|ComStock DEER 2011|ComStock 90.1-2010|ComStock DOE Ref 1980-2004|ComStock 90.1-2004
in.energy_code_followed_during_last_int_equipment_replacement	metadata	string		Specifies the energy code used to determine interior equipment loads	ComStock DEER 2007|ComStock 90.1-2013|ComStock DEER 2017|ComStock DEER 2003|ComStock DEER 2014|ComStock 90.1-2010|ComStock DEER 2011|ComStock DEER 1996|ComStock 90.1-2004|ComStock DEER 1985|ComStock DEER 2015|ComStock DOE Ref 1980-2004|ComStock 90.1-2007
in.energy_code_followed_during_last_roof_replacement	metadata	string		Specifies the energy code used to determine roof insulation values	ComStock DEER 1985|ComStock DOE Ref 1980-2004|ComStock DEER 2011|ComStock DEER Pre-1975|ComStock DEER 2015|ComStock DEER 2017|ComStock DOE Ref Pre-1980|ComStock DEER 1996|ComStock 90.1-2010|ComStock 90.1-2004|ComStock 90.1-2013|ComStock DEER 2007|ComStock DEER 2003|ComStock 90.1-2007|ComStock DEER 2014
in.energy_code_followed_during_last_svc_water_htg_replacement	metadata	string		Specifies the energy code used to determine service water heating efficiencies	ComStock DOE Ref 1980-2004|ComStock DEER 2015|ComStock DEER 2011|ComStock DEER 2014|ComStock 90.1-2010|ComStock DEER 2007|ComStock 90.1-2013|ComStock 90.1-2004|ComStock DEER 2003|ComStock 90.1-2007|ComStock DEER 1996|ComStock DEER 1985|ComStock DEER 2017
in.energy_code_followed_during_last_walls_replacement	metadata	string		Specifies the energy code used to determine wall insulation values	ComStock DOE Ref 1980-2004|ComStock 90.1-2013|ComStock DEER 2015|ComStock 90.1-2007|ComStock DEER 2003|ComStock 90.1-2004|ComStock DEER 2014|ComStock DEER 2007|ComStock DEER 2017|ComStock DEER 2011|ComStock 90.1-2010|ComStock DEER 1996|ComStock DEER 1985|ComStock DOE Ref Pre-1980|ComStock DEER Pre-1975
in.energy_code_followed_during_original_building_construction	metadata	string		Specifies the date of contruction of the modeled building which impacts the assumed energy code year of building subsystems	ComStock DEER 1985|ComStock 90.1-2004|ComStock 90.1-2007|ComStock 90.1-2010|ComStock DEER 2011|ComStock DEER 2015|ComStock 90.1-2013|ComStock DEER 2003|ComStock DEER 2017|ComStock DEER 1996|ComStock DOE Ref 1980-2004|ComStock DEER 2014|ComStock DEER Pre-1975|ComStock DEER 2007|ComStock DOE Ref Pre-1980
in.heating_fuel	metadata	string		Building primary HVAC heating fuel source	Electricity|DistrictHeating|FuelOil|Propane|NaturalGas
in.hvac_category	metadata	string		A basic categorization of HVAC system typologies	Other HVAC|Zone-by-Zone|Residential Style Central Systems|Multizone CAV/VAV|Small Packaged Unit
in.hvac_combined_type	metadata	string		A combination of the HVAC ventilation, heating, and cooling categorizations	DOAS+Zone terminal equipment_WSHP_WSHP|Central Single-zone RTU_Furnace_Evaporative Cooling|Central Single-zone RTU_Electric Resistance_Evaporative Cooling|Central Single-zone RTU_District_DX|Central Multi-zone VAV RTU_District_DX|Residential forced air_Furnace_None|Central Single-zone RTU_Boiler _Evaporative Cooling|Central Single-zone RTU_ASHP_ASHP|Central Multi-zone VAV RTU_District_ACC|Zone terminal equipment_Boiler _DX|DOAS+Zone terminal equipment_GSHP_GSHP|DOAS+Zone terminal equipment_Electric Resistance_ACC|Central Multi-zone VAV RTU_Boiler _DX|Zone terminal equipment_Electric Resistance_DX|Central Multi-zone VAV RTU_Boiler _WCC|Central Single-zone RTU_Furnace_DX|DOAS+Zone terminal equipment_District_ACC|Central Single-zone RTU_Electric Resistance_DX|Central Multi-zone VAV RTU_Electric Resistance_District|DOAS+Zone terminal equipment_Boiler _ACC|Central Single-zone RTU_Boiler _DX|Residential forced air_Furnace_DX|Zone terminal equipment_ASHP_ASHP|Central Multi-zone VAV RTU_District_District|Central Multi-zone VAV RTU_Electric Resistance_DX|Central Multi-zone VAV RTU_Electric Resistance_WCC|DOAS+Zone terminal equipment_Boiler _WCC|Central Single-zone RTU_Electric Resistance_District|DOAS+Zone terminal equipment_Electric Resistance_District|None_Electric Resistance_None|Central Multi-zone VAV RTU_Furnace_DX|Central Multi-zone VAV RTU_Boiler _ACC|DOAS+Zone terminal equipment_District_District|Central Multi-zone VAV RTU_Electric Resistance_ACC|DOAS+Zone terminal equipment_District_WCC|Zone terminal equipment_Furnace_None|DOAS+Zone terminal equipment_Boiler _District|Central Multi-zone VAV RTU_District_WCC|DOAS+Zone terminal equipment_Electric Resistance_WCC|DOAS+Zone terminal equipment_ASHP_ASHP|Zone terminal equipment_Furnace_DX|Central Multi-zone VAV RTU_Boiler _District
in.hvac_cool_type	metadata	string		A basic categorization of the HVAC cooling type	Evaporative Cooling|ASHP|District|DX|None|WSHP|GSHP|ACC|WCC
in.hvac_heat_type	metadata	string		A basic categorization of the HVAC heating type	GSHP|District|WSHP|Electric Resistance|Boiler |ASHP|Furnace
in.hvac_night_variability	metadata	string		Specifies the HVAC nighttime hvac operation used in model, which impacts fan and ventialtion behavior during unnoccupied times	default_nochange|night_fancycle_novent|night_fancycle_vent|night_fanon_vent
in.hvac_system_type	metadata	string		Building primary HVAC system type	VAV air-cooled chiller with PFP boxes|Gas unit heaters|Residential AC with residential forced air furnace|VAV air-cooled chiller with gas boiler reheat|DOAS with fan coil air-cooled chiller with boiler|PVAV with PFP boxes|VAV chiller with PFP boxes|PTAC with gas boiler|PSZ-AC with electric coil|DOAS with water source heat pumps with ground source heat pump|PSZ-AC with district hot water|VAV chiller with gas boiler reheat|PVAV with gas heat with electric reheat|Direct evap coolers with baseboard electric|PVAV with district hot water reheat|Direct evap coolers with baseboard gas boiler|PSZ-AC with gas boiler|VAV district chilled water with gas boiler reheat|PSZ-HP|PSZ-AC district chilled water with electric coil|DOAS with fan coil district chilled water with boiler|DOAS with fan coil chiller with district hot water|DOAS with fan coil chiller with boiler|DOAS with water source heat pumps cooling tower with boiler|PSZ-AC with gas coil|PTAC with electric coil|VAV district chilled water with PFP boxes|PTAC with gas coil|Baseboard electric|Direct evap coolers with forced air furnace|DOAS with fan coil district chilled water with district hot water|VAV district chilled water with district hot water reheat|DOAS with fan coil chiller with baseboard electric|PTHP|DOAS with fan coil district chilled water with baseboard electric|VAV chiller with district hot water reheat|VAV air-cooled chiller with district hot water reheat|DOAS with VRF|Residential forced air furnace|PVAV with gas boiler reheat|DOAS with fan coil air-cooled chiller with district hot water|DOAS with fan coil air-cooled chiller with baseboard electric
in.hvac_vent_type	metadata	string		A basic categorization of the HVAC ventilation type	None|DOAS+Zone terminal equipment|Central Single-zone RTU|Central Multi-zone VAV RTU|Residential forced air|Zone terminal equipment
in.interior_lighting_generation	metadata	string		The technology used for interior lighting in the building	gen2_t8_halogen|gen3_t5_cfl|gen4_led|gen5_led|gen1_t12_incandescent
in.number_of_stories	metadata	float		Building number of stories above grade	""
in.number_stories	metadata	string		Specifies the number of stories of the building	over_25
in.ownership_type	metadata	string		Type of organization or legal entity that owns the building	owner_occupied|federal|leased|local|state
